2025-01-28 14:40:54,136 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:41:09,500 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:41:12,530 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 14:42:52,266 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:43:08,424 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:43:11,177 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 14:49:29,152 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 14:56:39,100 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:57:44,691 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 14:57:44,691 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 14:57:44,692 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 14:57:44,693 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 14:57:44,694 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 14:57:48,291 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 14:57:50,868 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:12:12,916 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:12:28,356 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:12:28,356 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:12:28,357 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:12:28,359 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:12:28,360 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:12:32,210 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:12:34,883 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:15:20,125 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:16:44,127 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:16:44,128 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:16:44,129 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:16:44,131 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:16:44,134 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:16:52,042 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:16:54,798 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:20:27,179 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:20:41,913 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:20:41,913 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:20:41,915 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:20:41,916 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:20:41,917 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:20:44,769 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:20:47,492 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:21:18,157 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:21:36,159 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:21:39,105 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:24:34,657 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:24:58,846 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:24:58,846 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:24:58,847 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:24:58,848 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:24:58,849 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:25:08,227 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:25:10,852 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:38:01,881 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:38:25,026 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:38:25,026 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:38:25,027 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:38:25,029 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:38:25,030 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:38:28,959 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:38:32,436 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:40:18,886 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:40:37,482 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:40:37,483 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:40:37,484 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:40:37,485 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:40:37,486 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:40:41,505 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:40:44,042 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:41:47,529 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:42:30,067 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:42:33,328 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:42:53,598 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
2025-01-28 15:43:31,269 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:43:31,269 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:43:31,270 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:43:31,272 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:43:31,273 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:43:37,251 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:44:52,695 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-01-28 15:44:52,695 | MainThread   | [INFO    ] | <module>            |: info
2025-01-28 15:44:52,696 | MainThread   | [WARNING ] | <module>            |: warning
2025-01-28 15:44:52,698 | MainThread   | [ERROR   ] | <module>            |: error
2025-01-28 15:44:52,700 | MainThread   | [CRITICAL] | <module>            |: critical
2025-01-28 15:44:56,020 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:25:26:04:64
2025-01-28 15:45:00,812 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:25:26:04:64
2025-01-28 15:45:55,373 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from EB36BB92-4002-31C3-42B2-2592FE207A21
